word,score,globalContribution,positionalContribution
chose,4.0502499645334264,2.4292893310287917,1.6209606335046347
sorta,4.049174082509955,2.604254102230609,1.4449199802793462
samel,4.048850320842686,2.449658464361141,1.5991918564815444
salon,4.04880239955396,2.563157549632657,1.485644849921303
spart,4.048437330996597,2.495951544285111,1.5524857867114856
briny,4.047964621816427,2.3421366770616716,1.7058279447547553
marle,4.047852740616976,2.471679815918199,1.5761729246987777
cleat,4.047790894464704,2.536083827632016,1.5117070668326886
tries,4.046716431044939,2.5871138304506376,1.459602600594302
plast,4.045846351856429,2.4794788941190222,1.5663674577374072
certy,4.04526103508185,2.4684374310410417,1.5768236040408081
ceorl,4.044384930877096,2.5380795513630905,1.5063053795140058
artsy,4.044287125218349,2.531548143241638,1.5127389819767112
poley,4.043547042335353,2.404170798751715,1.6393762435836383
truly,4.04349196640278,2.4696191097506173,1.5738728566521634
drily,4.043468895376524,2.4271113026489646,1.6163575927275595
tousy,4.043095208613902,2.451558587718476,1.5915366208954267
spalt,4.0425034481556015,2.4794788941190222,1.5630245540365793
sloth,4.041905752552081,2.48563866599427,1.5562670865578108
shoal,4.041802711957378,2.4979487446203588,1.5438539673370193
flare,4.0417968500780805,2.402423634226593,1.6393732158514873
rinse,4.0417412338468495,2.5624899280187745,1.4792513058280745
ruice,4.041672504119857,2.4818441201463566,1.559828383973501
grice,4.041501007859335,2.4017889832321453,1.639712024627189
brosy,4.040780072189544,2.3622796530633954,1.6785004191261488
artly,4.040680712689169,2.5370968446326083,1.5035838680565605
doilt,4.0406550238850265,2.486408450138768,1.554246573746258
plant,4.0406250183329755,2.4634675317450503,1.5771574865879252
starn,4.04055150083582,2.57873320894075,1.4618182918950693
laser,4.040536360928222,2.5995946931795606,1.4409416677486608
frite,4.040412011765721,2.38994277149767,1.650469240268051
rioty,4.040380800230591,2.525512972761681,1.51486782746891
doily,4.039465725058466,2.4145994820077936,1.6248662430506722
earst,4.03922768980874,2.6026585318464823,1.4365691579622575
sarod,4.0391868634637005,2.50981326164281,1.5293736018208905
canty,4.0383895000522,2.4434133752622302,1.5949761247899696
sined,4.038308546118069,2.4546402759318084,1.5836682701862608
crust,4.038258408145701,2.477164782384353,1.561093625761348
beaty,4.038257035980567,2.3681978898640805,1.6700591461164862
urite,4.0382071783746785,2.540558714252626,1.497648464122053
spait,4.03816469703019,2.479308110016187,1.5588565870140032
peisy,4.038067017337165,2.3944904837329934,1.6435765336041717
tared,4.037984647139803,2.5168302313165745,1.5211544158232284
plait,4.037901188201837,2.4848568114071568,1.5530443767946804
seria,4.037699421481264,2.5994239090767257,1.4382755124045385
clade,4.037286787828281,2.441642987044217,1.5956438007840639
crusy,4.037069109319141,2.4053558142533786,1.631713295065762
cries,4.036687161432118,2.5283992363443684,1.5082879250877497
sharn,4.036644809573819,2.4889005014965884,1.5477443080772308
court,4.036582708139456,2.48667431330024,1.5499083948392158
spiel,4.036486463231043,2.463235613197047,1.573250850033996
boney,4.03642636375876,2.3321608996641254,1.7042654640946344
morae,4.036137550244964,2.475640645443116,1.5604969048018482
sured,4.035544154184487,2.4407399563766923,1.5948041978077947
trash,4.035476944720818,2.513524403928451,1.5219525407923669
cadet,4.035473230067749,2.444706825711138,1.5907664043566108
baler,4.0352481350004705,2.4503518308273016,1.5848963041731685
slued,4.034979587325848,2.424267306210604,1.610712281115244
stage,4.034918077049285,2.4540269271772006,1.5808911498720852
gorse,4.0348021753346845,2.4560226509082757,1.578779524426409
